date,monthly_return
2024-01-31,0.0314474013974122
2024-02-29,-0.010176957165459632
2024-03-31,0.007268455572482457
2024-04-30,0.0010070034774778414
2024-05-31,0.008830327289311768
2024-06-30,-0.024759827192749384
2024-07-31,0.010184098387523877
2024-08-31,-0.009438324520791963
2024-09-30,-0.0015698704317345102
2024-10-31,-0.038627276950254474
2024-11-30,-0.03409809855734469
2024-12-31,-0.015101265104368378
2025-01-31,-0.018868259032278734
2025-02-28,-0.012338122892467052
2025-03-31,0.012403603939933783
2025-04-30,-0.021156214022643116
2025-05-31,-0.013008621719105995
2025-06-30,-0.02013737287044337
2025-07-31,0.008941058678152203
2025-08-31,0.047255161219314834
2025-09-30,-0.027282636008101546
2025-10-31,-0.040949891984218945
2025-11-30,0.011888064537503018
2025-12-31,-0.03598578865570767
2026-01-31,0.006491840551164252
2026-02-28,0.02389242299848071
2026-03-31,-0.053432027778954616
